재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기 3개월 	당기 3분기 누적 	전기 3분기 3개월 	전기 3분기 누적 	전기	전전기
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)	674,847,742,000	1,917,353,678,000	637,467,872,000	1,465,702,296,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	dart_OtherGains	      기타영업외수익	47,943,667,000	158,039,050,000	223,732,291,000	342,593,542,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	dart_OtherLosses	      기타영업외비용	515,731,772,000	705,105,688,000	135,125,503,000	382,804,755,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	ifrs-full_CostOfSales	      매출원가	7,670,416,052,000	22,590,310,317,000	7,575,023,350,000	22,184,642,968,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	dart_BasicEarningsLossPerSharePreferredStock	         우선주 주당순이익	-4,970	2,812	4,106	4,822		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	dart_DilutedEarningsLossPerSharePreferredStock	         우선주 희석주당순이익	-4,970	2,812	4,106	4,822		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	entity00148540_BasicEarningsLossPerShareNewPreferredStockOfEarningsPerShareAbstract	         신형우선주 주당순이익	-4,983	2,775	4,094	4,785		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	entity00148540_DilutedEarningsLossPerShareNewPreferredStockOfEarningsPerShareAbstract	         신형우선주 희석주당순이익	-4,983	2,775	4,094	4,785		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주 주당순이익	-4,983	2,775	4,094	4,785		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         보통주 희석주당순이익	-4,983	2,775	4,094	4,785		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	ifrs-full_FinanceCosts	      금융비용	244,879,998,000	1,157,570,504,000	336,889,652,000	1,134,031,576,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	72,056,392,000	518,385,418,000	122,499,655,000	512,146,987,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	ifrs-full_GrossProfit	      매출총이익	3,174,735,385,000	9,373,617,819,000	3,044,003,851,000	8,502,156,800,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	332,517,925,000	619,687,608,000	150,656,933,000	389,055,664,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	ifrs-full_ProfitLoss	      분기순이익	-295,199,439,000	164,149,863,000	356,856,024,000	403,394,594,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-09-30	3분기보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	         비지배지분	-128,146,241,000	71,026,024,000	219,542,947,000	242,873,051,000		
