재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기말	전기말	전전기말	
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_InvestmentIncomeExpenses	      투자손익	61,171,543,948		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_OperatingExpenseInvestment	         투자영업비용	585,892,052,374		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_AdditionalImpairmentLossesOfFinancialAssets	            신용손실충당금 전입액	0		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_FinanceExpensesFromReinsuranceContractsHeldRecognisedInProfitOrLoss	            재보험금융비용	2,604,292,593		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_InsuranceFinanceExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss	            보험금융비용	248,402,240,125		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융상품관련손실	24,733,939,546		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융상품관련손실	127,861,958,598		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_LossesFromDerivatives	            파생상품관련비용	116,611,121,539		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_OtherOperatingExpenseInvestment	            기타투자비용	11,102,928,987		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_ForeignExchangeLoss	            외화거래손실	10,775,971,731		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_InterestExpense	            금융부채의 이자비용	42,062,806,797		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_SellingGeneralAndAdministrativeExpense	            재산관리비	1,736,792,458		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_InvestmentIncome	         투자영업수익	647,063,596,322		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_FinanceIncomeFromReinsuranceContractsHeldRecognisedInProfitOrLoss	            재보험금융수익	1,448,762,921		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_GainFromDerivatives	            파생상품관련수익	17,624,006,933		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_GainFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융상품관련이익	2,542,124,155		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융상품관련이익	145,256,329,037		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_InsuranceFinanceIncomeFromInsuranceContractsIssuedRecognisedInProfitOrLoss	            보험금융수익	76,079,807,761		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_OtherOperatingIncomeInvestment	            기타투자수익	57,902,700,797		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_ReversalsOfImpairmentLossesOfFinancialAssets	            신용손실충당금 환입액	13,108,382,194		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_ForeignExchangeGain	            외화거래이익	105,745,780,057		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_RevenueFromDividends	            배당금수익	6,431,918,846		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_RevenueFromInterest	            이자수익	220,923,783,621		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_NonOperatingProfitLoss	      영업외손익	-4,044,460,361		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_NonOperatingExpense	         영업외비용	4,280,337,121		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_NonOperatingIncome	         영업외수익	235,876,760		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_ComprehensiveIncome	      총포괄손익	-471,986,313,085		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests	         비지배지분	0		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent	         지배기업의 소유주지분	-471,986,313,085		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본주당순이익	2,533		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         희석주당순이익	2,533		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)	22,993,208,339		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_InsuranceServiceResult	      보험손익	74,447,526,696		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_OperatingExpenseInsurance	         보험서비스비용	465,429,206,123		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_OtherOperatingExpenseInsurance	            기타사업비용	7,093,710,313		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_ExpensesFromAllocationOfPremiumsPaidToReinsurer	            재보험비용	34,816,737,810		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_InsuranceServiceExpensesFromInsuranceContractsIssued	            보험비용	423,518,758,000		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	dart_OperatingIncomeInsurance	         보험영업수익	539,876,732,819		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_IncomeFromAmountsRecoveredFromReinsurer	            재보험수익	37,483,202,338		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_InsuranceRevenue	            보험수익	502,393,530,481		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-09-30	3분기보고서	KRW	ifrs-full_OtherComprehensiveIncome	      기타포괄손익	-580,567,715,029		
