재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		2,547,483,645,000			2,039,057,889,000	2,154,201,790,000
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_OtherGains	      기타이익		253,564,419,000			614,334,740,000	366,473,482,000
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_OtherLosses	      기타비용		1,248,808,067,000			791,164,572,000	742,365,672,000
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비		10,076,339,142,000			9,358,337,437,000	9,074,587,530,000
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_CostOfSales	      매출원가		31,022,833,303,000			29,955,292,833,000	29,696,090,453,000
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_BasicEarningsLossPerSharePreferredStock	         우선주기본주당순이익(손실)		3,043			5,856	6,073
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_DilutedEarningsLossPerSharePreferredStock	         우선주희석주당순이익(손실)		3,043			5,856	6,073
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	entity00148540_DilutedEarningsLossPerShareNewPreferredStockOfEarningsPerShareAbstract	         신형우선주 희석주당순이익		2,993			5,806	6,023
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	entity00148540_NewItemOfEarningsPerShareAbstract	         신형우선주 주당순이익		2,993			5,806	6,023
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주기본주당이익(손실)		2,993			5,806	6,023
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         보통주희석주당이익(손실)		2,993			5,806	6,023
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융비용		1,933,431,829,000			1,492,718,323,000	1,488,595,046,000
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		1,055,104,238,000			668,420,229,000	929,447,813,000
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_GrossProfit	      매출총이익		12,623,822,787,000			11,397,395,326,000	11,228,789,320,000
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세수익(비용)		557,606,036,000			461,266,707,000	369,393,322,000
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		151,195,776,000			524,667,990,000	686,845,690,000
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	         비지배지분에 귀속되는 당기순이익(손실)		50,724,029,000			329,877,287,000	484,775,835,000
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	         지배기업의 소유주에게 귀속되는 당기순이익(손실)		100,471,747,000			194,790,703,000	202,069,855,000
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		708,801,812,000			985,934,697,000	1,056,239,012,000
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_Revenue	      수익(매출액)		43,646,656,090,000			41,352,688,159,000	40,924,879,773,000
