재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 포괄손익계산서, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_GainLossFromFinancialInstrumentsAtAmortisedCost	      상각후원가 측정 금융자산관련순손익	1,099,978,342	-245,957,046	283,596,929
 포괄손익계산서, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_GainLossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome	      기타포괄손익-공정가치 측정 금융자산관련순손익	73,865,537,844	4,798,390,870	2,808,705,725
 포괄손익계산서, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_GainLossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	      당기손익-공정가치 측정 금융자산관련순손익	167,516,877,876	161,584,183,296	-4,287,240,484
 포괄손익계산서, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_NonOperatingProfitLoss	      영업외손익	115,865,891,273	74,386,087,514	-30,938,525,501
 포괄손익계산서, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_NonOperatingExpense	         기타비용	-57,316,495,594	-55,984,743,661	-96,599,839,244
 포괄손익계산서, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_NonOperatingIncome	         기타수익	90,641,776,328	76,200,479,947	64,607,954,681
 포괄손익계산서, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod	         관계기업투자이익	82,540,610,539	54,170,351,228	1,053,359,062
 포괄손익계산서, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	entity00858364_ContributionToProvisionForCreditLossAndOthersOfStatementOfComprehensiveIncomeAbstract	      신용손실 충당금 전입액 등	-781,741,961,223	-759,374,997,568	-478,454,688,959
 포괄손익계산서, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncome	      총포괄손익	757,876,332,195	800,113,553,532	794,966,455,172
 포괄손익계산서, 기타 - 연결	[138930]	BNK금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests	         비지배지분에 귀속되는 총포괄손익	21,428,538,807	39,124,648,629	48,170,521,917
