재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_ReversalsOfImpairmentLossesOfFinancialAssets	            신용손실충당금 환입액	14,683,495,440		
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_InvestmentIncomeExpenses	      투자손익	43,779,954,712	54,404,078,283	50,768,399,576
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_OperatingExpenseInvestment	         투자영업비용	1,031,240,358,034	797,940,701,439	838,330,108,111
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_AdditionalImpairmentLossesOfFinancialAssets	            신용손실충당금 전입액	1,043,864,876	22,627,433,426	0
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_FinanceExpensesFromReinsuranceContractsHeldRecognisedInProfitOrLoss	            재보험금융비용	3,442,321,223	3,239,570,609	2,406,884,662
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_InsuranceFinanceExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss	            보험금융비용	322,668,798,003	383,558,346,421	247,984,523,366
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융상품관련손실	37,420,702,635	16,904,795,455	0
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융상품관련손실	219,490,688,954	117,535,687,166	0
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_LossesFromDerivatives	            파생상품관련비용	337,784,499,135	155,351,437,658	235,213,908,926
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2024-12-31	사업보고서	KRW	dart_OtherOperatingExpenseInvestment	            기타투자비용	21,841,798,197	19,903,775,372	12,172,285,900
