재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기 3개월 	당기 반기 누적 	전기 반기 3개월 	전기 반기 누적 	전기	전전기
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_NonOperatingExpense	      기타영업외비용	128,691,235,000	232,841,479,000	72,833,365,000	189,373,917,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_NonOperatingIncome	      기타영업외수익	59,603,401,000	115,170,307,000	35,528,690,000	110,095,384,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_OperatingIncomeLoss	      영업이익	618,771,596,000	1,149,742,219,000	662,555,072,000	1,235,132,999,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비	2,600,739,425,000	5,133,462,052,000	2,528,956,375,000	4,958,682,346,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_CostOfSales	      매출원가	7,899,517,470,000	15,436,263,331,000	7,491,424,655,000	14,924,961,354,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_BasicEarningsLossPerSharePreferredStock	         우선주기본주당순이익	4,949	6,987	5,616	7,693		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	dart_DilutedEarningsLossPerSharePreferredStock	         우선주희석주당순이익	4,949	6,987	5,616	7,693		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	entity00148540_BasicEarningsLossPerShareNewPreferredStockOfEarningsPerShareAbstract	         신형우선주주당순이익	4,937	6,962	5,604	7,668		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	entity00148540_DilutedEarningsLossPerShareNewPreferredStockOfEarningsPerShareAbstract	         신형우선주희석주당순이익	4,937	6,962	5,604	7,668		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주 기본주당순이익	4,937	6,962	5,604	7,668		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         보통주 희석주당순이익	4,937	6,962	5,604	7,668		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_FinanceCosts	      금융비용	394,453,595,000	843,086,933,000	470,741,867,000	912,690,506,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_FinanceIncome	      금융수익	331,922,841,000	540,667,532,000	227,523,853,000	446,329,027,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_GrossProfit	      매출총이익	3,219,511,021,000	6,283,204,271,000	3,191,511,447,000	6,193,815,345,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	159,821,180,000	292,748,771,000	128,535,351,000	286,966,147,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_ProfitLoss	      반기순이익	363,269,578,000	495,821,151,000	304,817,948,000	452,179,902,000		
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2025-06-30	반기보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	         비지배지분	197,714,594,000	262,335,263,000	116,896,425,000	195,003,547,000		
